brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,145.0,39.8,2.2,31995
vauxhall, GTC,2015,Manual,47870,Diesel,125.0,60.1,2.0,7700
audi, RS4,2019,Automatic,5151,Petrol,145.0,29.1,2.9,58990
vw, Scirocco,2016,Automatic,20423,Diesel,30.0,57.6,2.0,12999
skoda, Scala,2020,Semi-Auto,3569,Petrol,145.0,47.1,1.0,16990
merc, V Class,2019,Automatic,4170,Diesel,145.0,44.1,2.1,40890
toyota, Prius,2020,Automatic,3,Hybrid,135.0,64.2,1.8,25990
bmw, M4,2019,Semi-Auto,101,Petrol,145.0,34.0,3.0,41980
toyota, Camry,2019,Automatic,6340,Hybrid,135.0,52.3,2.5,25490
ford, KA,2012,Manual,85843,Petrol,30.0,57.7,1.2,3491
vauxhall, Vivaro,2016,Manual,40230,Diesel,160.0,50.4,1.6,13750
merc, CLS Class,2016,Automatic,47156,Diesel,125.0,57.7,2.1,17999
vw, Caravelle,2019,Automatic,5000,Diesel,145.0,33.6,2.0,46050
vw, Arteon,2018,Semi-Auto,20656,Petrol,145.0,47.1,2.0,20498
vw, Shuttle,2018,Manual,31824,Diesel,145.0,47.1,2.0,22750
hyundi, I40,2019,Manual,20,Diesel,145.0,52.3,1.6,16000
hyundi, IX20,2015,Automatic,34878,Petrol,200.0,43.6,1.6,6890
hyundi, Santa Fe,2019,Automatic,9970,Diesel,145.0,39.2,2.2,31269
bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145.0,51.4,3.0,25998
merc, GL Class,2016,Automatic,11653,Diesel,20.0,67.3,2.1,17999
merc, S Class,2017,Automatic,12653,Diesel,145.0,52.3,3.0,37500
ford, KA,2015,Manual,17041,Petrol,30.0,57.7,1.2,4995
audi, S3,2015,Manual,48800,Petrol,205.0,39.8,2.0,17950
skoda, Yeti,2016,Semi-Auto,13156,Petrol,125.0,51.4,1.2,13495
ford, Galaxy,2009,Manual,58000,Diesel,200.0,44.8,1.8,5475
ford, Puma,2020,Manual,363,Petrol,145.0,50.4,1.0,23000
ford, Edge,2016,Manual,24105,Diesel,160.0,48.7,2.0,18640
audi, A8,2019,Automatic,2117,Diesel,145.0,40.4,3.0,41606
merc, SLK,2013,Semi-Auto,44226,Diesel,145.0,56.5,2.0,10498
vw, Scirocco,2016,Manual,44015,Diesel,30.0,53.3,2.0,12912
merc, CLS Class,2016,Automatic,16107,Diesel,160.0,51.4,3.0,20399
skoda, Kamiq,2019,Semi-Auto,3597,Petrol,145.0,44.1,1.5,20999
merc, CLS Class,2016,Semi-Auto,29306,Diesel,160.0,51.4,3.0,21998
audi, RS6,2016,Semi-Auto,22500,Petrol,325.0,29.4,4.0,49950
toyota, Prius,2017,Automatic,20828,Hybrid,135.0,94.1,1.8,18995
skoda, Scala,2019,Automatic,510,Diesel,145.0,54.3,1.6,16490
vw, Scirocco,2016,Manual,40000,Petrol,125.0,52.3,1.4,11850
vw, Arteon,2019,Semi-Auto,5101,Diesel,145.0,50.4,2.0,26090
skoda, Scala,2019,Manual,1149,Petrol,145.0,49.6,1.0,15650
toyota, Prius,2017,Automatic,33710,Hybrid,135.0,94.1,1.8,17800
merc, CLA Class,2017,Automatic,53159,Diesel,125.0,58.9,2.1,17590
vw, Caravelle,2006,Manual,106000,Diesel,325.0,34.4,2.5,14495
toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,145.0,30.1,2.8,42995
merc, V Class,2019,Automatic,10,Diesel,145.0,36.7,2.0,49991
merc, M Class,2015,Semi-Auto,43339,Diesel,200.0,39.2,2.1,21498
merc, S Class,2009,Automatic,122000,Diesel,325.0,36.7,3.0,7724
hyundi, I40,2016,Manual,18340,Diesel,125.0,60.1,1.7,12995
vw, Arteon,2020,Semi-Auto,2555,Diesel,145.0,53.3,2.0,29990
merc, V Class,2018,Semi-Auto,40479,Diesel,145.0,45.6,2.2,29998
audi, Q8,2019,Automatic,4278,Diesel,145.0,33.6,3.0,50786
bmw, i3,2017,Automatic,20929,Hybrid,135.0,470.8,0.0,19948
toyota, Verso,2017,Semi-Auto,19807,Petrol,200.0,42.8,1.8,12990
hyundi, Santa Fe,2016,Automatic,20960,Diesel,235.0,42.8,2.2,16999
merc, CLS Class,2018,Automatic,16568,Diesel,145.0,48.7,2.9,34390
ford, Mustang,2017,Manual,20700,Petrol,150.0,20.9,5.0,27500
vw, Arteon,2019,Manual,40,Diesel,150.0,52.3,2.0,27498
merc, CLS Class,2017,Semi-Auto,31479,Diesel,145.0,57.7,2.1,22490
hyundi, IX35,2011,Manual,79000,Petrol,205.0,41.5,1.6,5475
vw, Amarok,2015,Manual,43935,Diesel,260.0,35.3,2.0,18995
toyota, Avensis,2018,Automatic,35507,Petrol,145.0,44.1,1.8,12998
ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30.0,64.2,1.5,12298
ford, Galaxy,2016,Semi-Auto,20486,Diesel,145.0,52.3,2.0,20995
toyota, Prius,2016,Automatic,23300,Hybrid,0.0,85.6,1.8,18690
vauxhall, Antara,2014,Manual,27495,Diesel,235.0,44.1,2.2,6790
skoda, Scala,2019,Other,3500,Petrol,145.0,47.1,1.0,15999
merc, M Class,2008,Automatic,110000,Diesel,555.0,28.8,3.0,5990
ford, Puma,2019,Manual,1085,Petrol,145.0,51.4,1.0,20000
ford, Tourneo Connect,2020,Automatic,409,Diesel,145.0,44.1,1.5,20950
vw, Beetle,2015,Manual,55239,Petrol,145.0,47.9,1.2,7795
bmw, X4,2017,Automatic,58056,Diesel,145.0,54.3,2.0,22000
merc, SLK,2008,Automatic,65000,Petrol,290.0,34.4,1.8,6775
vw, CC,2015,Semi-Auto,54231,Diesel,150.0,53.3,2.0,9995
ford, Edge,2016,Automatic,24641,Diesel,160.0,48.7,2.0,19999
bmw, M4,2020,Semi-Auto,1000,Petrol,145.0,34.0,3.0,49980
toyota, GT86,2017,Manual,26919,Petrol,260.0,36.2,2.0,15998
merc, GL Class,2013,Automatic,60462,Diesel,325.0,35.3,3.0,25998
bmw, X4,2015,Manual,53197,Diesel,160.0,52.3,2.0,18390
merc, X-CLASS,2019,Automatic,500,Diesel,260.0,35.8,2.3,24945
bmw, X4,2016,Automatic,42576,Diesel,200.0,47.9,3.0,20500
hyundi, I800,2016,Automatic,17110,Diesel,325.0,33.6,2.5,14998
bmw, i8,2018,Automatic,11278,Hybrid,135.0,134.5,1.5,57870
merc, S Class,2019,Semi-Auto,7659,Diesel,145.0,52.3,3.0,46980
vw, Caddy Maxi Life,2014,Manual,56716,Diesel,200.0,48.7,1.6,9498
toyota, Verso,2018,Manual,7074,Diesel,145.0,62.8,1.6,13965
ford, Mustang,2017,Semi-Auto,26452,Petrol,580.0,23.5,5.0,27890
hyundi, IX20,2015,Manual,29000,Petrol,125.0,50.4,1.4,6795
skoda, Yeti,2017,Semi-Auto,15000,Petrol,125.0,51.4,1.2,13400
vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145.0,46.3,2.0,24295
vw, Arteon,2017,Semi-Auto,6502,Petrol,145.0,47.1,2.0,22290
vauxhall, Combo Life,2019,Manual,805,Petrol,145.0,42.2,1.2,16000
merc, CLA Class,2017,Automatic,10626,Petrol,145.0,53.3,1.6,17200
vw, Scirocco,2014,Manual,43198,Diesel,30.0,62.8,2.0,12000
ford, Mustang,2020,Automatic,3500,Petrol,145.0,22.1,5.0,42489
skoda, Rapid,2017,Manual,55115,Diesel,0.0,74.3,1.6,7450
vw, Arteon,2019,Semi-Auto,6183,Diesel,145.0,50.4,2.0,23795
merc, X-CLASS,2018,Automatic,9500,Diesel,260.0,31.4,3.0,36790
bmw, 6 Series,2015,Automatic,22797,Diesel,160.0,49.6,3.0,19199
merc, S Class,2015,Automatic,30782,Hybrid,20.0,64.2,2.1,27000
ford, Edge,2017,Manual,45386,Diesel,160.0,48.7,2.0,17000
vw, Scirocco,2011,Semi-Auto,120000,Diesel,125.0,57.6,2.0,5995
merc, GL Class,2015,Automatic,54965,Diesel,125.0,55.4,2.1,15599
vw, Amarok,2017,Automatic,22000,Diesel,260.0,36.2,3.0,26000
vw, Amarok,2018,Automatic,23371,Diesel,265.0,36.2,3.0,30995
audi, SQ7,2017,Automatic,12000,Diesel,145.0,39.2,4.0,52888
merc, M Class,2014,Automatic,37986,Diesel,300.0,39.2,3.0,20499
ford, Grand C-MAX,2016,Manual,28772,Diesel,30.0,64.2,1.5,9999
hyundi, Santa Fe,2009,Manual,95000,Diesel,305.0,38.7,2.2,4495
hyundi, IX20,2017,Manual,12245,Petrol,150.0,50.4,1.4,10000
toyota, Prius,2013,Automatic,33905,Hybrid,0.0,70.6,1.8,11500
vauxhall, Combo Life,2018,Manual,10070,Diesel,145.0,53.3,1.5,15979
bmw, i3,2016,Automatic,25269,Other,0.0,470.8,0.6,17100
toyota, Avensis,2016,Manual,40312,Diesel,200.0,46.3,1.6,10275
ford, Tourneo Custom,2016,Manual,62505,Diesel,200.0,46.3,2.0,15298
bmw, M4,2020,Semi-Auto,101,Petrol,145.0,34.0,3.0,51402
vw, California,2019,Semi-Auto,3544,Diesel,260.0,29.1,2.0,69994
hyundi, I800,2018,Manual,33610,Diesel,145.0,31.7,2.5,16459
vauxhall, Agila,2014,Manual,45400,Petrol,20.0,60.1,1.0,3595
merc, M Class,2015,Semi-Auto,30657,Diesel,200.0,39.2,2.1,23995
audi, A7,2017,Semi-Auto,24337,Diesel,150.0,55.4,3.0,22999
hyundi, I800,2019,Manual,14674,Diesel,145.0,31.7,2.5,18500
skoda, Scala,2020,Manual,1652,Petrol,145.0,47.9,1.5,19952
vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,30.0,62.7,1.6,8850
ford, Mustang,2018,Manual,21632,Petrol,145.0,35.3,2.3,25000
merc, CLA Class,2015,Automatic,32895,Diesel,20.0,67.3,2.1,16250
ford, Galaxy,2017,Manual,36123,Diesel,125.0,56.5,2.0,17958
vauxhall, Combo Life,2019,Manual,7821,Diesel,145.0,53.3,1.5,16990
toyota, Prius,2013,Automatic,68057,Hybrid,0.0,68.9,1.8,14498
toyota, Land Cruiser,2017,Automatic,11356,Diesel,145.0,38.2,2.8,37790
bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160.0,49.6,3.0,17898
ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,30.0,64.2,1.5,13490
toyota, Verso,2017,Semi-Auto,19432,Petrol,150.0,43.5,1.8,16781
merc, CLS Class,2018,Semi-Auto,8123,Diesel,145.0,48.7,2.9,33990
vauxhall, Combo Life,2018,Manual,14066,Diesel,145.0,53.3,1.5,13300
merc, G Class,2018,Semi-Auto,18234,Petrol,150.0,21.4,4.0,135124
vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145.0,38.7,2.0,33290
ford, Grand C-MAX,2011,Automatic,90000,Diesel,200.0,48.7,2.0,5995
bmw, X6,2018,Automatic,35706,Diesel,145.0,47.1,3.0,33450
ford, Edge,2018,Semi-Auto,9412,Diesel,150.0,47.9,2.0,24000
merc, CLA Class,2016,Automatic,30106,Diesel,125.0,58.9,2.1,18500
toyota, Verso,2017,Semi-Auto,6800,Petrol,145.0,42.8,1.8,15495
bmw, M2,2020,Semi-Auto,1501,Petrol,145.0,29.1,3.0,46000
merc, GL Class,2015,Automatic,29520,Diesel,125.0,55.4,2.1,17299
merc, GL Class,2015,Automatic,40659,Diesel,125.0,56.5,2.1,16799
merc, SLK,2014,Semi-Auto,34170,Petrol,200.0,43.5,2.0,13650
bmw, X4,2017,Semi-Auto,22768,Diesel,145.0,54.3,2.0,24500
merc, CLS Class,2016,Automatic,33000,Diesel,145.0,56.5,2.1,19200
toyota, Prius,2017,Automatic,3881,Hybrid,135.0,235.0,1.8,20795
vw, Scirocco,2015,Manual,22442,Diesel,20.0,55.4,2.0,12998
merc, SLK,2016,Automatic,39820,Diesel,30.0,70.6,2.1,16299
skoda, Scala,2020,Manual,55,Petrol,145.0,49.6,1.0,17495
bmw, X7,2019,Semi-Auto,10,Diesel,145.0,31.4,3.0,76970
vw, Arteon,2019,Manual,3248,Diesel,145.0,52.3,2.0,24690
hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,150.0,42.8,2.2,19899
vw, Beetle,2015,Manual,26196,Petrol,205.0,42.8,1.4,11000
vw, Amarok,2019,Automatic,6822,Diesel,260.0,33.6,3.0,30700
skoda, Rapid,2018,Semi-Auto,13553,Petrol,145.0,58.9,1.0,11795
merc, V Class,2018,Manual,30577,Diesel,145.0,46.3,2.1,19990
audi, A8,2018,Automatic,11300,Diesel,145.0,50.4,3.0,34399
vw, Scirocco,2016,Manual,22687,Diesel,20.0,55.4,2.0,15199
vauxhall, GTC,2015,Manual,33217,Diesel,125.0,60.1,2.0,7280
audi, A8,2019,Automatic,5900,Diesel,145.0,50.4,3.0,48000
bmw, i3,2017,Automatic,24041,Hybrid,0.0,470.8,0.0,21495
vw, Scirocco,2017,Manual,44081,Petrol,145.0,47.1,2.0,14075
ford, Galaxy,2016,Automatic,24664,Diesel,150.0,52.3,2.0,19500
bmw, 7 Series,2019,Automatic,7414,Diesel,145.0,44.8,3.0,47890
vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145.0,35.8,1.5,29399
ford, Grand C-MAX,2018,Manual,21384,Petrol,145.0,54.3,1.0,11999
skoda, Rapid,2014,Semi-Auto,40468,Petrol,145.0,48.7,1.4,7495
merc, V Class,2018,Automatic,15232,Diesel,145.0,48.7,2.1,19750
vw, Caravelle,2019,Semi-Auto,6280,Diesel,145.0,33.6,2.0,46795
vw, Shuttle,2018,Semi-Auto,16203,Diesel,145.0,47.1,2.0,27994
ford, Galaxy,2017,Manual,35495,Diesel,125.0,56.5,2.0,17999
merc, M Class,2013,Automatic,84000,Diesel,205.0,44.8,2.1,17500
ford, Grand C-MAX,2017,Manual,11373,Petrol,30.0,54.3,1.0,11891
vauxhall, Combo Life,2019,Manual,7300,Petrol,145.0,42.2,1.2,14990
ford, Tourneo Custom,2017,Manual,33650,Diesel,235.0,44.1,2.0,17995
bmw, Z4,2019,Automatic,467,Petrol,145.0,38.7,2.0,32970
audi, RS5,2019,Automatic,2000,Petrol,145.0,30.1,2.9,53990
skoda, Rapid,2017,Manual,33599,Diesel,145.0,74.3,1.6,9185
ford, Edge,2016,Manual,27500,Diesel,160.0,48.7,2.0,17900
ford, Grand C-MAX,2017,Manual,25243,Diesel,30.0,64.2,1.5,12498
vw, Scirocco,2015,Manual,90000,Diesel,30.0,53.3,2.0,9475
ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,125.0,61.4,1.5,13995
vw, Arteon,2019,Manual,100,Diesel,150.0,52.3,2.0,25390
toyota, GT86,2017,Manual,14345,Petrol,150.0,36.2,2.0,17000
toyota, Hilux,2018,Automatic,16734,Diesel,265.0,36.2,2.4,23994
